source_id,country,year,gas,latitude,longitude,sector,subsector,asset_type,source_type,annual_emissions_quantity
32439394,VNM,2026,co2,21.6013198732494,105.772433656415,manufacturing,cement,integrated dry,point-source,130854.0986117088
55793382,VNM,2026,co2,10.595295,107.044846,manufacturing,iron-and-steel,EAF,point-source,128643.18095425985
32439401,VNM,2026,co2,15.7661140134219,107.860513879722,manufacturing,cement,integrated dry,point-source,126137.5375286899
8254489,VNM,2026,co2,19.587049485000076,105.55510884143857,forestry-and-land-use,forest-land-fires,,gadm-aggregation,124008.0422436018
5073938,VNM,2026,co2,22.763725280500125,105.04530004479,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,123820.1388710202
5076337,VNM,2026,co2,15.894070148500074,107.49674730237896,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,123425.4829848642
2802647,VNM,2026,co2,20.974611439027488,107.05214710632919,transportation,international-shipping,,point-source,123340.5107826467
45945214,VNM,2026,co2,22.617745,103.810401,mineral-extraction,copper-mining,copper-mine,point-source,121332.23747508015
5073865,VNM,2026,co2,12.451654911000048,108.48761886873659,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,119393.3539643976
5073976,VNM,2026,co2,18.089286878500104,106.17618364278215,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,118880.3686799715
2802649,VNM,2026,co2,18.048473388873667,106.43752247356792,transportation,international-shipping,,point-source,117728.33002201891
8254351,VNM,2026,co2,20.8801622390001,103.46557661131166,forestry-and-land-use,forest-land-fires,,gadm-aggregation,115150.09940288699
448861,VNM,2026,co2,10.489,107.1665,power,electricity-generation,"gas, oil, other_fossil",point-source,114800.0
5076483,VNM,2026,co2,22.09373283400012,105.0132950637165,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,113556.90273860822
8252486,VNM,2026,co2,13.232316971000103,108.19884487123787,forestry-and-land-use,forest-land-fires,,gadm-aggregation,112667.73506724539
1934896,VNM,2026,co2,16.091105,108.221961,transportation,domestic-shipping,,point-source,110793.54494315051
5076482,VNM,2026,co2,22.168325424000074,105.29288285915169,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,109418.81390629051
5073807,VNM,2026,co2,11.739387988500084,106.91381436745192,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,109240.8144548142
5075989,VNM,2026,co2,22.29347610500011,104.41664671707677,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,109222.5796868703
5076488,VNM,2026,co2,21.86376953200016,105.37147317820597,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,107513.654764776
1934905,VNM,2026,co2,20.798416,106.907639,transportation,domestic-shipping,,point-source,105336.39174735376
5075883,VNM,2026,co2,22.25646018950013,103.0304569040606,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,104592.2833740174
5076514,VNM,2026,co2,21.86152935050012,104.93409727712815,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,102932.4432962538
8252371,VNM,2026,co2,11.262252807500118,108.36232744255358,forestry-and-land-use,forest-land-fires,,gadm-aggregation,101770.1035502718
42547260,VNM,2026,co2,20.416560553958,105.891528345414,manufacturing,cement,integrated dry,point-source,101562.46461013262
8254494,VNM,2026,co2,19.59866046900015,105.38802050043844,forestry-and-land-use,forest-land-fires,,gadm-aggregation,101279.454864615
5073803,VNM,2026,co2,11.48021698000005,107.00450743973852,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,100979.0667064173
5075957,VNM,2026,co2,21.533105850000084,107.09080415841561,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,99205.83037681621
32441102,VNM,2026,co2,10.5746874361503,107.039044816589,manufacturing,iron-and-steel,EAF,point-source,98956.29304173833
1567179,VNM,2026,co2,10.5606854428725,107.026745623272,manufacturing,iron-and-steel,EAF,point-source,98956.29304173833
3646801,VNM,2026,co2,10.913630009000087,106.89215373982323,transportation,road-transportation,,gadm-aggregation,98878.6879526597
5076511,VNM,2026,co2,21.569374085000078,104.57906865355146,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,97670.5035483435
25453513,VNM,2026,co2,15.7163,108.031,power,electricity-generation,coal,point-source,96620.0
5075898,VNM,2026,co2,22.125707627000136,103.74474023518526,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,96462.2289899205
5073805,VNM,2026,co2,11.625307084000067,106.69451566525922,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,95908.66123133039
5076484,VNM,2026,co2,22.509059906000033,105.25548665563157,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,94481.240904453
5073873,VNM,2026,co2,12.030067920500045,107.86623696472734,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,92738.7648686736
32439372,VNM,2026,co2,21.0256906101952,107.043987893168,manufacturing,cement,integrated dry,point-source,92555.47632122727
5076453,VNM,2026,co2,16.232249260000117,107.33759652469926,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,92457.2701217961
42547367,VNM,2026,co2,21.0243553843364,106.534556995931,manufacturing,cement,integrated dry,point-source,92056.84547806205
8252533,VNM,2026,co2,12.030067920500045,107.86623696472734,forestry-and-land-use,forest-land-fires,,gadm-aggregation,91208.8846754376
5073885,VNM,2026,co2,22.261917114000056,102.37578736269165,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,90218.92323224191
5076300,VNM,2026,co2,13.413764000500151,108.97179435393271,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,89965.403618352
1567176,VNM,2026,co2,11.0539472358855,106.615895155059,manufacturing,iron-and-steel,IF,point-source,88858.58292788106
